"Molecule
","Market
","Manufacturer
","Product
","Molecule Combination Type
","Launch Year
","Corporation
","MIDAS Corporation
","Strength
","ATC1
","ATC2
","ATC4
","ATC3
","Pack
","Launch Date
","Retail Price
","NFC1
","NFC3
","NFC2
","2025
LC Value","2025
Units","2024
LC Value","2024
Units","2023
LC Value","2023
Units","2022
LC Value","2022
Units","2021
LC Value","2021
Units","2020
LC Value","2020
Units"
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS ME STBN
","
COMBI
","
2017
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 36
","
201705
","
28.00
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",,,"1,288",46,,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS ME VIT C
","
COMBI
","
2020
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 36
","
202003
","
26.18
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",314,12,"1,938",74,,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
LPO
","
RECKITT BENCKISER
","
STREPSILS ME WARM
","
COMBI
","
2017
","
RECKITT BENCKISER*
","
RECKITT BENCKISER
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZS 16
","
201707
","
18.47
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
",,,185,10,,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
AGIO PHARMACEUTIC
","
LOZZYS
","
COMBI
","
2024
","
AGIO PHARMACEUTIC*
","
AGIO
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
GINGER LOZEN 24
","
202407
","
21.42
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","51,987","2,427","91,721","4,282",,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
AGIO PHARMACEUTIC
","
LOZZYS
","
COMBI
","
2024
","
AGIO PHARMACEUTIC*
","
AGIO
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
HON & LE LOZ 24
","
202407
","
21.42
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","40,270","1,880","90,435","4,222",,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
AGIO PHARMACEUTIC
","
LOZZYS
","
COMBI
","
2024
","
AGIO PHARMACEUTIC*
","
AGIO
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
MEN & EU LOZ 24
","
202407
","
21.42
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","30,502","1,424","85,530","3,993",,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
AGIO PHARMACEUTIC
","
LOZZYS
","
COMBI
","
2024
","
AGIO PHARMACEUTIC*
","
AGIO
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
ORANGE LOZ 24
","
202407
","
21.42
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","28,017","1,308","85,381","3,986",,,,,,,,
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
EGO PHARM
","
QV
","
COMBI
","
2015
","
EGO PHARM*
","
EGO
","
0000
","
D0 DERMATOLOGICALS
","
D02 EMOLLIENTS & PROTECTIVES
","
D02A0 EMOLLIENTS & PROTECTIVES
","
D02A EMOLLIENTS & PROTECTIVES
","
SKIN LOTION 1 250 ML
","
201502
","
65.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MGS TOP EXT LOTIONS
","
MG TOP EXT LIQUIDS
","212,875","3,275","389,675","5,995","335,140","5,156","723,190","11,126","429,585","6,609","206,375","3,175"
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
EGO PHARM
","
QV
","
COMBI
","
2015
","
EGO PHARM*
","
EGO
","
0000
","
D0 DERMATOLOGICALS
","
D02 EMOLLIENTS & PROTECTIVES
","
D02A0 EMOLLIENTS & PROTECTIVES
","
D02A EMOLLIENTS & PROTECTIVES
","
SKIN LTN 1 500 ML
","
201504
","
109.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MGS TOP EXT LOTIONS
","
MG TOP EXT LIQUIDS
","275,879","2,531","448,208","4,112","527,669","4,841","282,746","2,594","168,732","1,548","27,032",248
"
2;4-DICHLOROBENZYL ALCOHOL
","
PRIVATE MARKET
","
NAPP LABS
","
BETADINE
","
COMBI
","
2023
","
MUNDIPHARMA*
","
MUNDIPHARMA INT
","
0000
","
R0 RESPIRATORY SYSTEM
","
R02 PHARYNGEAL PREPARATIONS
","
R02A0 PHARYNGEAL PREPARATIONS
","
R02A PHARYNGEAL PREPARATIONS
","
LOZ HON&LEMO 24
","
202301
","
21.48
","
K ORAL TOPICAL
","
KDE ORAL TOP LOZENGES
","
KD ORAL TOP SOLID SPEC FORMS
","479,541","22,325","1,031,964","48,043","1,232,803","57,393",,,,,,
