"Molecule
","Market
","Manufacturer
","Product
","Molecule Combination Type
","Launch Year
","Corporation
","MIDAS Corporation
","Strength
","ATC1
","ATC2
","ATC4
","ATC3
","Pack
","Launch Date
","Retail Price
","NFC1
","NFC3
","NFC2
","2025
LC Value","2025
Units","2024
LC Value","2024
Units","2023
LC Value","2023
Units","2022
LC Value","2022
Units","2021
LC Value","2021
Units","2020
LC Value","2020
Units"
"
HYPERICUM PERFORATUM
","
PRIVATE MARKET
","
COSVAL
","
MIGLIORIN
","
COMBI
","
2009
","
COSVAL*
","
COSVAL
","
0000
","
D0 DERMATOLOGICALS
","
D11 OTHER DERMATOLOGICAL PREP
","
D11A0 OTHER DERMATOLOGICAL PREP
","
D11A OTHER DERMATOLOGICAL PREP
","
AHL SH PH5.5 1 200 ML
","
200910
","
40.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MGW TOP EXT LIQUID SOAPS/WASHES
","
MG TOP EXT LIQUIDS
",,,,,,,"3,960",99,,,,
"
HYPERICUM PERFORATUM
","
PRIVATE MARKET
","
HOMEOCAN
","
KIDS 0-9 PAIN&FEVE
","
COMBI
","
2014
","
HOMEOCAN
","
HOMEOCAN
","
0000
","
N0 NERVOUS SYSTEM
","
N02 ANALGESICS
","
N02B0 NON-NARCOTIC ANALGESICS
","
N02B NON-NARCOTIC ANALGESICS
","
DROPS CHERRY 1 25 ML
","
201410
","
60.00
","
D ORAL LIQUID ORDINARY
","
DGB ORAL L ORD DROPS
","
DG ORAL L ORD LIQUIDS
","5,940",99,"5,040",84,"7,920",132,"14,280",238,,,,
"
HYPERICUM PERFORATUM
","
PRIVATE MARKET
","
HOMEOCAN
","
KIDS 0-9 TEETHING
","
COMBI
","
2014
","
HOMEOCAN
","
HOMEOCAN
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A01 STOMATOLOGICALS
","
A01A0 STOMATOLOGICALS
","
A01A STOMATOLOGICALS
","
DROPS ORANGE 1 25 ML
","
201410
","
60.00
","
D ORAL LIQUID ORDINARY
","
DGB ORAL L ORD DROPS
","
DG ORAL L ORD LIQUIDS
",,,"5,460",91,,,"13,920",232,,,"3,240",54
"
HYPERICUM PERFORATUM
","
PRIVATE MARKET
","
LABATEC PHARMA
","
REMOTIV
","
MONO
","
2024
","
LABATEC PHARMA
","
LABATEC
","
0500MG
","
N0 NERVOUS SYSTEM
","
N06 PSYCHOANALEPTICS
","
N06A2 ANTIDEPRESSANTS. HERBALS
","
N06A ANTIDEPRESS.& MOOD STAB.
","
F.C. TABS 500 MG 30
","
202402
","
101.50
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","44,459",438,"241,775","2,382",,,,,,,,
"
HYPERICUM PERFORATUM
","
PRIVATE MARKET
","
WEBBER NATURALS
","
ST JOHNS WORT
","
MONO
","
2012
","
WEBBER NATURALS
","
WN PHARMACEUTICALS
","
0300MG
","
N0 NERVOUS SYSTEM
","
N06 PSYCHOANALEPTICS
","
N06A2 ANTIDEPRESSANTS. HERBALS
","
N06A ANTIDEPRESS.& MOOD STAB.
","
CAPS 300 MG 60
","
201202
","
82.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,"3,690",45,,,,,,,,
"
HYPOCHLOROUS ACID
","
PRIVATE MARKET
","
BIOKOSMES SRL
","
NEXODYN
","
MONO
","
2019
","
BIOKOSMES SRL
","
BIOKOSMES
","
0000
","
D0 DERMATOLOGICALS
","
D03 WOUND HEALING AGENTS
","
D03A9 OTH WOUND HEALING AGENTS
","
D03A WOUND HEALING AGENTS
","
SP0.0038%/ML 1 100 ML
","
201909
","
97.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MGC TOP EXT SPRAYS WITHOUT GAS
","
MG TOP EXT LIQUIDS
",,,,,"8,245",85,,,"217,959","2,247","233,556","2,261"
"
HYPOCHLOROUS ACID
","
PRIVATE MARKET
","
OCULUS
","
ACUICYN
","
MONO
","
2018
","
OCULUS*
","
SONOMA PHARMACEUTI
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01X2 OTH OPHTHALM TOPICAL
","
S01X OTHER OPHTHALMOLOGICALS
","
EYELID SOLU 1 120 ML
","
201804
","
105.00
","
N OPHTHALMIC
","
NGC OPHTHALMIC SPRAY W/O GAS
","
NG OPHTHALMIC LIQUIDS
",,,,,315,3,"17,955",171,"219,765","2,093",,
"
HYPOCHLOROUS ACID
","
PRIVATE MARKET
","
OCULUS
","
MICROSAFE ORAL CAR
","
MONO
","
2019
","
OCULUS*
","
SONOMA PHARMACEUTI
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A01 STOMATOLOGICALS
","
A01A0 STOMATOLOGICALS
","
A01A STOMATOLOGICALS
","
M0.004/0.003 1 236 ML
","
201902
","
74.25
","
K ORAL TOPICAL
","
KGA ORAL TOP LIQUIDS
","
KG ORAL TOP LIQUIDS
",,,,,,,"21,832",294,"9,357",126,,
"
HYPOCHLOROUS ACID
","
PRIVATE MARKET
","
OCULUS
","
SINUDOX
","
MONO
","
2018
","
OCULUS*
","
SONOMA PHARMACEUTI
","
0000
","
R0 RESPIRATORY SYSTEM
","
R01 NASAL PREPARATIONS
","
R01A9 OTH TOPICAL NASAL PREPS
","
R01A TOPICAL NASAL PREPS
","
NASAL CL SPR 1 60 ML
","
201804
","
103.25
","
Q NASAL TOPICAL
","
QGC NASAL TOP SPRAYS WITHOUT GAS
","
QG NASAL TOP LIQUIDS
",,,,,827,8,"11,875",115,"305,930","2,963",,
"
HYPOPHYSIS ANTERIOR LOBE
","
PRIVATE MARKET
","
WALTER RITTER
","
PROCOMIL
","
COMBI
","
0000
","
WALTER RITTER
","
WALTER RITTER
","
0000
","
G0 G.U.SYSTEM & SEX HORMONES
","
G04 UROLOGICALS
","
G04X0 ALL OTH UROLOGICAL PRODS
","
G04X ALL OTH UROLOGICAL PRODS
","
C.TAB 30
","
UNKNOWN
","
100.00
","
A ORAL SOLID ORDINARY
","
ABA ORAL S ORD COATED TABLETS
","
AB ORAL S ORD COATED TABLETS
",,,"4,500",45,,,,,,,,
"
HYPROLOSE
","
LPO
","
EGO PHARM
","
QV KIDS
","
COMBI
","
2012
","
EGO PHARM*
","
EGO
","
0000
","
D0 DERMATOLOGICALS
","
D02 EMOLLIENTS & PROTECTIVES
","
D02A0 EMOLLIENTS & PROTECTIVES
","
D02A EMOLLIENTS & PROTECTIVES
","
MST CRM 1 100 G
","
201204
","
48.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MTA TOP EXT CREAMS N O S
","
MT TOP EXT CREAMS
",,,96,2,,,,,,,,
"
HYPROLOSE
","
PRIVATE MARKET
","
EGO PHARM
","
QV KIDS
","
COMBI
","
2012
","
EGO PHARM*
","
EGO
","
0000
","
D0 DERMATOLOGICALS
","
D02 EMOLLIENTS & PROTECTIVES
","
D02A0 EMOLLIENTS & PROTECTIVES
","
D02A EMOLLIENTS & PROTECTIVES
","
MST CRM 1 100 G
","
201204
","
48.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MTA TOP EXT CREAMS N O S
","
MT TOP EXT CREAMS
","104,208","2,171","246,720","5,140","252,720","5,265","482,496","10,052","343,680","7,160","145,152","3,024"
"
HYPROLOSE
","
PRIVATE MARKET
","
FLEN HEALTH
","
FLAMINAL HYDRO
","
COMBI
","
2019
","
FLEN HEALTH
","
FLEN PHARMA
","
0000
","
D0 DERMATOLOGICALS
","
D03 WOUND HEALING AGENTS
","
D03A9 OTH WOUND HEALING AGENTS
","
D03A WOUND HEALING AGENTS
","
GEL 1 30 G
","
201911
","
85.00
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MVA TOP EXT GELS/SOLS
","
MV TOP EXT GELS/SOLS
",,,,,,,,,"25,500",300,"40,545",477
"
HYPROLOSE
","
PRIVATE MARKET
","
FLEN HEALTH
","
FLAMINAL HYDRO
","
COMBI
","
2019
","
FLEN HEALTH
","
FLEN PHARMA
","
0000
","
D0 DERMATOLOGICALS
","
D03 WOUND HEALING AGENTS
","
D03A9 OTH WOUND HEALING AGENTS
","
D03A WOUND HEALING AGENTS
","
GEL 1 50 G
","
201911
","
123.20
","
M TOPIC DERMATOL HAEMOR EXTERN
","
MVA TOP EXT GELS/SOLS
","
MV TOP EXT GELS/SOLS
",,,,,,,"51,128",415,"308,245","2,502","53,346",433
"
HYPROLOSE
","
PRIVATE MARKET
","
JULPHAR
","
ULCER-EZE
","
COMBI
","
2019
","
JULPHAR*
","
JULPHAR
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A01 STOMATOLOGICALS
","
A01A0 STOMATOLOGICALS
","
A01A STOMATOLOGICALS
","
M.ULCR FILM 12
","
201906
","
31.50
","
K ORAL TOPICAL
","
KWY ORAL TOP OTHER MEDIC DRESSINGS
","
KW ORAL TOP MEDIC DRESSINGS
",,,,,,,"9,294",295,"48,419","1,537",694,22
"
HYPROMELLOSE
","
LPO
","
ALCON
","
TEARS NATURALE FRE
","
COMBI
","
2015
","
ALCON*
","
ALCON
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01K1 ARTIFIC TEAR&OCUL LUBRIC
","
S01K DRY EYE PRODUCTS
","
EYE DROPS UD 32 .90 ML
","
201511
","
20.75
","
N OPHTHALMIC
","
NGN OPHTHALMIC UNIT DOSE LIQUIDS
","
NG OPHTHALMIC LIQUIDS
","467,809","22,545","572,451","27,588","676,928","32,623","376,094","18,125","494,806","23,846","283,736","13,674"
"
HYPROMELLOSE
","
LPO
","
ALCON
","
TEARS NATURALE II
","
COMBI
","
1999
","
ALCON*
","
ALCON
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01K1 ARTIFIC TEAR&OCUL LUBRIC
","
S01K DRY EYE PRODUCTS
","
EYE DROPS 1 15 ML
","
199908
","
21.00
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
","721,980","34,380","1,203,930","57,330","1,496,754","87,090","893,620","63,830","742,560","53,040","273,994","19,571"
"
HYPROMELLOSE
","
PRIVATE MARKET
","
ALCON
","
TEARS NATURALE FRE
","
COMBI
","
2015
","
ALCON*
","
ALCON
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01K1 ARTIFIC TEAR&OCUL LUBRIC
","
S01K DRY EYE PRODUCTS
","
EYE DROPS UD 32 .90 ML
","
201511
","
20.75
","
N OPHTHALMIC
","
NGN OPHTHALMIC UNIT DOSE LIQUIDS
","
NG OPHTHALMIC LIQUIDS
",,,,,,,"7,325",353,,,,
"
HYPROMELLOSE
","
PRIVATE MARKET
","
ALCON
","
TEARS NATURALE FTE
","
COMBI
","
2004
","
ALCON*
","
ALCON
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01K1 ARTIFIC TEAR&OCUL LUBRIC
","
S01K DRY EYE PRODUCTS
","
EYE DROPS 1 15 ML
","
200410
","
20.50
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
",,,,,"3,691",180,,,,,,
"
HYPROMELLOSE
","
PRIVATE MARKET
","
ALCON
","
TEARS NATURALE II
","
COMBI
","
1999
","
ALCON*
","
ALCON
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01K1 ARTIFIC TEAR&OCUL LUBRIC
","
S01K DRY EYE PRODUCTS
","
EYE DROPS 1 15 ML
","
199908
","
21.00
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
","1,117,977","53,237","2,338,434","111,354","2,011,555","124,968","2,873,598","205,257","3,143,742","224,553","1,671,936","119,424"
"
HYPROMELLOSE
","
PRIVATE MARKET
","
ALCON
","
TEARS NATUREL
","
COMBI
","
0000
","
ALCON*
","
ALCON
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01K1 ARTIFIC TEAR&OCUL LUBRIC
","
S01K DRY EYE PRODUCTS
","
EYE DROPS 1 15 ML
","
UNKNOWN
","
11.50
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
",357,31,,,426,37,955,83,"152,779","13,285","50,762","4,414"
"
HYPROMELLOSE
","
PRIVATE MARKET
","
AVALON PHARMA
","
SALINOSE
","
MONO
","
2024
","
AVALON PHARMA*
","
MECP
","
0000
","
R0 RESPIRATORY SYSTEM
","
R01 NASAL PREPARATIONS
","
R01A9 OTH TOPICAL NASAL PREPS
","
R01A TOPICAL NASAL PREPS
","
CD DF MCG SP 1 20 ML
","
202407
","
66.49
","
Q NASAL TOPICAL
","
QGC NASAL TOP SPRAYS WITHOUT GAS
","
QG NASAL TOP LIQUIDS
","652,467","9,813","34,308",516,,,,,,,,
"
HYPROMELLOSE
","
PRIVATE MARKET
","
MENTHOLATUM
","
ROHTO COOL
","
COMBI
","
2023
","
ROHTO*
","
ROHTO CORP
","
0000
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01K1 ARTIFIC TEAR&OCUL LUBRIC
","
S01K DRY EYE PRODUCTS
","
EYE DROPS 1 13 ML
","
202304
","
29.50
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
","92,956","3,151","231,786","7,857","180,248","6,110",,,,,,
"
HYPROMELLOSE
","
PRIVATE MARKET
","
PK BENELUX
","
OBESIMED
","
COMBI
","
2014
","
PK BENELUX
","
PK BENELUX
","
0000
","
V0 VARIOUS
","
V06 GENERAL NUTRIENTS
","
V06A0 SLIMMING PREPARATIONS
","
V06A SLIMMING PREPARATIONS
","
CAPS 45
","
201402
","
130.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,,,,,,,"24,440",188
"
HYPROMELLOSE
","
PRIVATE MARKET
","
PROTEXIN
","
BIO-KULT
","
COMBI
","
2015
","
PROTEXIN
","
PROTEXIN
","
0000
","
A0 ALIMENTARY T.& METABOLISM
","
A07 INTESTINAL DISORDER PROD
","
A07F0 ANTIDIARR MICRO-ORGANISMS
","
A07F ANTIDIARR MICRO-ORGANISMS
","
CAPS 30
","
201506
","
85.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,,,"2,295",27,,,,,,
"
HYPROMELLOSE
","
PRIVATE MARKET
","
SYNERGY
","
CARMELLOSE HA EYE
","
COMBI
","
2019
","
SYNERGY
","
SYNERGY
","
0.20%
","
S0 SENSORY ORGANS
","
S01 OPHTHALMOLOGICALS
","
S01K9 DRY EYE PRODUCTS OTHER
","
S01K DRY EYE PRODUCTS
","
DROPS .20 % /ML 30 .50 ML
","
201905
","
85.50
","
N OPHTHALMIC
","
NGB OPHTHALMIC DROPS
","
NG OPHTHALMIC LIQUIDS
",,,"3,762",44,"6,413",75,"3,249",38,"11,030",129,,
"
IBANDRONIC ACID
","
LPO
","
ATNAHS
","
BONVIVA
","
MONO
","
2020
","
ATNAHS
","
PHARMANOVIA
","
0150MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M05 OTHER MUSCULO-SKELETAL
","
M05B3 BISPHOSPH OSTEOPOROSIS
","
M05B BONE CALCIUM REGULATORS
","
FILM C.TABS 150 MG 1
","
202008
","
119.00
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","180,166","1,514","366,502","2,156","355,200","1,850","251,520","1,310","272,640","1,420","114,308",740
"
IBANDRONIC ACID
","
PRIVATE MARKET
","
ATNAHS
","
BONVIVA
","
MONO
","
2020
","
ATNAHS
","
PHARMANOVIA
","
0150MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M05 OTHER MUSCULO-SKELETAL
","
M05B3 BISPHOSPH OSTEOPOROSIS
","
M05B BONE CALCIUM REGULATORS
","
FILM C.TABS 150 MG 1
","
202008
","
119.00
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","384,251","3,229","1,154,658","6,737","1,285,632","6,696","1,421,952","7,406","1,233,216","6,423","742,427","3,893"
"
IBANDRONIC ACID
","
PRIVATE MARKET
","
ROCHE
","
BONVIVA
","
MONO
","
2007
","
ROCHE*
","
ROCHE
","
0150MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M05 OTHER MUSCULO-SKELETAL
","
M05B3 BISPHOSPH OSTEOPOROSIS
","
M05B BONE CALCIUM REGULATORS
","
FILM C.TABS 150 MG 1
","
200703
","
192.00
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
",,,,,,,"15,360",80,"12,672",66,"11,328",59
"
IBRUTINIB
","
LPO
","
JANSSEN
","
IMBRUVICA
","
MONO
","
2017
","
JOHNSON & JOHNSON*
","
JOHNSON & JOHNSON
","
0140MG
","
L0 ANTINEOPLAST+IMMUNOMODUL
","
L01 ANTINEOPLASTICS
","
L01H6 PKI A-NEOPLASTIC BTK
","
L01H PROTEIN KINASE INH A-NEO
","
CAPS 140 MG 120
","
201704
","
41635.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,"915,970",22,"3,122,625",75,"4,454,945",107,"7,411,030",178,"3,538,975",85
"
IBRUTINIB
","
LPO
","
JANSSEN
","
IMBRUVICA
","
MONO
","
2024
","
JOHNSON & JOHNSON*
","
JOHNSON & JOHNSON
","
0140MG
","
L0 ANTINEOPLAST+IMMUNOMODUL
","
L01 ANTINEOPLASTICS
","
L01H6 PKI A-NEOPLASTIC BTK
","
L01H PROTEIN KINASE INH A-NEO
","
TABLET 140 MG 30
","
202407
","
9026.50
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","722,120",80,"180,531",20,,,,,,,,
"
IBRUTINIB
","
PRIVATE MARKET
","
JANSSEN
","
IMBRUVICA
","
MONO
","
2017
","
JOHNSON & JOHNSON*
","
JOHNSON & JOHNSON
","
0140MG
","
L0 ANTINEOPLAST+IMMUNOMODUL
","
L01 ANTINEOPLASTICS
","
L01H6 PKI A-NEOPLASTIC BTK
","
L01H PROTEIN KINASE INH A-NEO
","
CAPS 140 MG 120
","
201704
","
41635.00
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
",,,"2,373,195",57,"3,538,975",85,"4,788,025",115,"4,829,660",116,"2,040,115",49
"
IBRUTINIB
","
PRIVATE MARKET
","
JANSSEN
","
IMBRUVICA
","
MONO
","
2024
","
JOHNSON & JOHNSON*
","
JOHNSON & JOHNSON
","
0140MG
","
L0 ANTINEOPLAST+IMMUNOMODUL
","
L01 ANTINEOPLASTICS
","
L01H6 PKI A-NEOPLASTIC BTK
","
L01H PROTEIN KINASE INH A-NEO
","
TABLET 140 MG 30
","
202407
","
9026.50
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","162,479",18,"361,062",40,,,,,,,,
"
IBRUTINIB
","
PRIVATE MARKET
","
JANSSEN
","
IMBRUVICA
","
MONO
","
2024
","
JOHNSON & JOHNSON*
","
JOHNSON & JOHNSON
","
0420MG
","
L0 ANTINEOPLAST+IMMUNOMODUL
","
L01 ANTINEOPLASTICS
","
L01H6 PKI A-NEOPLASTIC BTK
","
L01H PROTEIN KINASE INH A-NEO
","
F.C. TABS 420 MG 30
","
202407
","
27079.50
","
A ORAL SOLID ORDINARY
","
ABC ORAL S ORD FILM-COATED TABS
","
AB ORAL S ORD COATED TABLETS
","1,381,056",51,"1,218,579",45,,,,,,,,
"
IBUPROFEN
","
LPO
","
ABBOTT INTERNATION
","
BRUFEN
","
MONO
","
0000
","
ABBOTT
","
ABBOTT
","
0100MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M01 ANTIRHEUMATIC SYSTEM
","
M01A1 ANTIRHEUMATICS NON-S PLN
","
M01A ANTIRHEUMATIC NON-STEROID
","
SYRUP 100 MG /5ML 1 100 ML
","
UNKNOWN
","
15.50
","
D ORAL LIQUID ORDINARY
","
DGM ORAL L ORD SYRUPS
","
DG ORAL L ORD LIQUIDS
","287,123","18,524","181,938","15,125","75,960","6,330",,,,,,
"
IBUPROFEN
","
LPO
","
ABBOTT INTERNATION
","
BRUFEN
","
MONO
","
1996
","
ABBOTT
","
ABBOTT
","
0600MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M01 ANTIRHEUMATIC SYSTEM
","
M01A1 ANTIRHEUMATICS NON-S PLN
","
M01A ANTIRHEUMATIC NON-STEROID
","
C.TAB 600 MG 30
","
199604
","
23.50
","
A ORAL SOLID ORDINARY
","
ABA ORAL S ORD COATED TABLETS
","
AB ORAL S ORD COATED TABLETS
","13,043",555,"5,170",220,,,,,,,,
"
IBUPROFEN
","
LPO
","
ABBOTT INTERNATION
","
BRUFEN
","
MONO
","
1998
","
ABBOTT
","
ABBOTT
","
0800MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M01 ANTIRHEUMATIC SYSTEM
","
M01A1 ANTIRHEUMATICS NON-S PLN
","
M01A ANTIRHEUMATIC NON-STEROID
","
C.TAB RETARD 800 MG 20
","
199811
","
31.00
","
B ORAL SOLID RETARD
","
BBA ORAL S RET COATED TABLETS
","
BB ORAL S RET COATED TABS
","1,240",40,"22,041",711,"36,270","1,170","57,195","1,845","12,400",400,,
"
IBUPROFEN
","
LPO
","
ABBOTT INTERNATION
","
BRUFEN
","
MONO
","
2007
","
ABBOTT
","
ABBOTT
","
0600MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M01 ANTIRHEUMATIC SYSTEM
","
M01A1 ANTIRHEUMATICS NON-S PLN
","
M01A ANTIRHEUMATIC NON-STEROID
","
GRN.EFF SACH 600 MG 20 6.50 G
","
200709
","
33.50
","
D ORAL LIQUID ORDINARY
","
DEP ORAL L ORD UNIT DOSE POWDERS
","
DE ORAL L ORD PWDRS/GRNLS
","2,412",72,"1,340",40,"1,340",40,"1,340",40,,,"5,695",170
"
IBUPROFEN
","
LPO
","
ABBOTT INTERNATION
","
BRUFEN
","
MONO
","
2012
","
ABBOTT
","
ABBOTT
","
0400MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M01 ANTIRHEUMATIC SYSTEM
","
M01A1 ANTIRHEUMATICS NON-S PLN
","
M01A ANTIRHEUMATIC NON-STEROID
","
C.TAB 400 MG 30
","
201209
","
16.50
","
A ORAL SOLID ORDINARY
","
ABA ORAL S ORD COATED TABLETS
","
AB ORAL S ORD COATED TABLETS
","83,128","5,038",825,50,,,,,,,,
"
IBUPROFEN
","
LPO
","
ABBOTT INTERNATION
","
BRUFEN
","
MONO
","
2020
","
ABBOTT
","
ABBOTT
","
0400MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M01 ANTIRHEUMATIC SYSTEM
","
M01A1 ANTIRHEUMATICS NON-S PLN
","
M01A ANTIRHEUMATIC NON-STEROID
","
RPD SGL CAPS 400 MG 20
","
202002
","
16.50
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
","3,466",210,,,,,,,,,,
"
IBUPROFEN
","
LPO
","
HALEON
","
ADVIL
","
MONO
","
2001
","
HALEON*
","
HALEON
","
0200MG
","
N0 NERVOUS SYSTEM
","
N02 ANALGESICS
","
N02B0 NON-NARCOTIC ANALGESICS
","
N02B NON-NARCOTIC ANALGESICS
","
C.TAB 200 MG 50
","
200105
","
19.50
","
A ORAL SOLID ORDINARY
","
ABA ORAL S ORD COATED TABLETS
","
AB ORAL S ORD COATED TABLETS
","97,208","4,985","86,923","5,376","52,920","3,528","47,940","3,196",,,,
"
IBUPROFEN
","
LPO
","
HALEON
","
ADVIL
","
MONO
","
2003
","
HALEON*
","
HALEON
","
0100MG
","
N0 NERVOUS SYSTEM
","
N02 ANALGESICS
","
N02B0 NON-NARCOTIC ANALGESICS
","
N02B NON-NARCOTIC ANALGESICS
","
SUSP CHILD 100 MG /5ML 1 100 ML
","
200309
","
15.00
","
D ORAL LIQUID ORDINARY
","
DGK ORAL L ORD SUSPENSIONS
","
DG ORAL L ORD LIQUIDS
",450,30,300,20,,,,,,,,
"
IBUPROFEN
","
LPO
","
HALEON
","
ADVIL
","
MONO
","
2006
","
HALEON*
","
HALEON
","
0200MG
","
N0 NERVOUS SYSTEM
","
N02 ANALGESICS
","
N02B0 NON-NARCOTIC ANALGESICS
","
N02B NON-NARCOTIC ANALGESICS
","
LIQUI-GELS 200 MG 32
","
200610
","
22.50
","
A ORAL SOLID ORDINARY
","
ACA ORAL S ORD CAPSULES
","
AC ORAL S ORD CAPSULES
","3,060",136,,,,,,,,,,
"
IBUPROFEN
","
LPO
","
HALEON
","
ADVIL COLD&SINUS
","
COMBI
","
2005
","
HALEON*
","
HALEON
","
0000
","
R0 RESPIRATORY SYSTEM
","
R05 COUGH & COLD PREPARATIONS
","
R05A0 COLD PREPARATIONS
","
R05A COLD PREPARATIONS
","
CAPLETS 20
","
200501
","
15.00
","
A ORAL SOLID ORDINARY
","
AAA ORAL S ORD TABLETS
","
AA ORAL S ORD TABLETS
","37,770","2,518",495,33,,,,,,,,
"
IBUPROFEN
","
LPO
","
JULPHAR
","
PROFINAL
","
MONO
","
0000
","
JULPHAR*
","
JULPHAR
","
0400MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M01 ANTIRHEUMATIC SYSTEM
","
M01A1 ANTIRHEUMATICS NON-S PLN
","
M01A ANTIRHEUMATIC NON-STEROID
","
TABS 400 MG 24
","
UNKNOWN
","
14.00
","
A ORAL SOLID ORDINARY
","
AAA ORAL S ORD TABLETS
","
AA ORAL S ORD TABLETS
","1,050,616","75,044","2,261,616","161,544","1,465,408","104,672","747,922","53,423","163,254","11,661","43,162","3,083"
"
IBUPROFEN
","
LPO
","
JULPHAR
","
PROFINAL
","
MONO
","
1994
","
JULPHAR*
","
JULPHAR
","
0100MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M01 ANTIRHEUMATIC SYSTEM
","
M01A1 ANTIRHEUMATICS NON-S PLN
","
M01A ANTIRHEUMATIC NON-STEROID
","
SUSP 100 MG /5ML 1 110 ML
","
199401
","
13.00
","
D ORAL LIQUID ORDINARY
","
DGK ORAL L ORD SUSPENSIONS
","
DG ORAL L ORD LIQUIDS
","1,073,189","82,553","152,373","11,721","912,600","70,200","22,191","1,707","35,191","2,707","32,539","2,503"
"
IBUPROFEN
","
LPO
","
KSP
","
I-PROFEN
","
MONO
","
2002
","
KSP
","
KSPICO
","
0100MG
","
M0 MUSCULO-SKELETAL SYSTEM
","
M01 ANTIRHEUMATIC SYSTEM
","
M01A1 ANTIRHEUMATICS NON-S PLN
","
M01A ANTIRHEUMATIC NON-STEROID
","
SUSP 100 MG /5ML 1 100 ML
","
200201
","
10.50
","
D ORAL LIQUID ORDINARY
","
DGK ORAL L ORD SUSPENSIONS
","
DG ORAL L ORD LIQUIDS
","1,091,980","103,998","964,950","91,900","795,543","75,766","405,825","38,650","74,550","7,100",,
